station_id,event_id,duration,severity,intensity,propagated
9064,70,24,1.6648,0.0694,False
9044,12,56,46.3037,0.8269,True
9036,8,5,1.1806,0.2361,False
9142,26,10,3.1862,0.3186,False
9005,20,44,7.5397,0.1714,True
9120,7,61,59.4449,0.9745,True
9065,71,27,9.0992,0.337,True
9004,61,6,1.8016,0.3003,False
9050,28,126,109.8327,0.8717,True
9074,12,37,13.2819,0.359,True
9020,41,17,1.3972,0.0822,False
9126,22,16,2.787,0.1742,True
9118,18,165,87.5251,0.5305,True
9018,80,8,0.0507,0.0063,False
9150,7,38,7.7422,0.2037,True
9021,85,8,2.162,0.2703,False
9096,36,49,18.0614,0.3686,True
9142,3,49,14.024,0.2862,True
9064,83,25,4.2559,0.1702,True
9065,48,9,2.4137,0.2682,False
9011,77,70,24.5213,0.3503,True
9003,73,10,1.8204,0.182,True
9038,30,20,2.3512,0.1176,True
9079,68,36,28.4722,0.7909,True
9101,6,5,0.1551,0.031,False
9096,13,19,0.3093,0.0163,True
9018,93,45,33.052,0.7345,False
9064,60,85,43.6808,0.5139,True
9065,25,32,18.9782,0.5931,True
9005,10,85,5.4992,0.0647,True
9004,51,78,23.56,0.3021,True
9050,18,26,4.0014,0.1539,True
9013,99,61,23.2414,0.381,False
9038,43,45,13.7649,0.3059,True
9013,135,136,43.9419,0.3231,True
9074,2,15,1.253,0.0835,True
9126,12,12,5.1489,0.4291,False
9064,37,33,7.7521,0.2349,False
9096,26,7,3.9283,0.5612,False
9065,38,5,0.6097,0.1219,False
9003,63,13,0.7761,0.0597,False
9004,28,43,7.2982,0.1697,True
9063,77,18,3.7132,0.2063,True
9038,20,73,17.75,0.2432,True
9079,58,46,3.9369,0.0856,True
9018,47,22,1.1245,0.0511,True
9064,50,6,0.1664,0.0277,True
9065,15,24,8.9318,0.3722,True
9002,75,6,0.4863,0.081,False
9003,40,21,5.3175,0.2532,True
9079,35,80,38.539,0.4817,True
9003,76,6,0.3162,0.0527,True
9004,41,32,8.2837,0.2589,True
9050,8,29,16.774,0.5784,True
9036,73,41,25.3416,0.6181,True
9013,89,94,20.6029,0.2192,False
9126,2,54,17.095,0.3166,True
9018,60,15,0.4469,0.0298,False
9064,27,16,15.2117,0.9507,False
9002,52,47,10.9966,0.234,True
9074,77,10,2.9075,0.2908,False
9065,28,41,19.2449,0.4694,True
9003,53,8,0.6646,0.0831,False
9044,54,39,8.0147,0.2055,True
9063,67,40,13.2746,0.3319,True
9079,48,8,2.4621,0.3078,False
9036,86,35,12.4658,0.3562,True
9018,37,56,15.2843,0.2729,True
9064,4,43,15.188,0.3532,False
9124,55,39,14.9343,0.3829,False
9065,5,26,7.7912,0.2997,True
9011,34,9,3.8864,0.4318,False
9097,37,33,61.6076,1.8669,False
9002,65,27,2.9771,0.1103,True
9003,30,26,8.395,0.3229,True
9063,44,104,50.6239,0.4868,True
9078,60,38,23.0812,0.6074,True
9079,25,18,5.496,0.3053,True
9025,54,76,7.721,0.1016,False
9063,80,17,5.474,0.322,True
9036,63,45,6.8377,0.1519,False
9142,81,25,5.9034,0.2361,True
9048,37,17,0.9807,0.0577,False
9040,33,23,4.1845,0.1819,False
9005,75,13,0.2989,0.023,False
9120,62,38,24.0424,0.6327,True
9093,44,392,304.6002,0.777,True
9003,7,7,1.3645,0.1949,True
9021,55,30,10.2226,0.3408,True
9074,67,6,0.2193,0.0366,True
9078,37,39,10.1578,0.2605,True
9079,2,38,13.2824,0.3495,True
9004,8,9,0.5859,0.0651,True
9044,44,21,2.7573,0.1313,True
9063,57,39,17.8837,0.4586,False
9036,40,9,1.5528,0.1725,False
9150,62,73,20.2648,0.2776,True
9079,38,10,1.1916,0.1192,False
9120,39,57,18.562,0.3256,True
9036,76,6,0.029,0.0048,False
9040,46,15,1.3522,0.0901,False
9018,27,5,0.5297,0.1059,False
9002,19,94,22.8727,0.2433,True
9021,32,20,10.4533,0.5227,True
9011,24,28,3.3564,0.1199,False
9097,27,21,2.439,0.1161,False
9002,55,9,1.2956,0.144,True
9003,20,27,19.5593,0.7244,True
9063,34,14,3.3364,0.2383,True
9150,39,277,81.0976,0.2928,True
9126,90,9,1.3667,0.1519,True
9078,50,58,37.1453,0.6404,True
9079,15,14,0.48,0.0343,True
9065,80,7,3.6605,0.5229,True
9025,44,22,6.5193,0.2963,True
9044,57,9,1.0978,0.122,True
9036,53,151,97.1223,0.6432,True
9142,71,12,0.7359,0.0613,False
9048,27,122,46.3505,0.3799,True
9005,65,5,0.4249,0.085,True
9120,52,9,0.0238,0.0026,False
9018,4,36,7.7839,0.2162,False
9002,32,111,69.9676,0.6303,True
9021,45,57,14.4899,0.2542,True
9074,57,28,14.2748,0.5098,True
9097,40,27,4.5529,0.1686,True
9025,21,28,7.4838,0.2673,False
9063,47,35,18.4986,0.5285,True
9150,52,25,2.3633,0.0945,True
9142,48,6,0.9,0.15,True
9048,4,24,0.4333,0.0181,True
9013,46,40,4.756,0.1189,True
9120,29,16,3.0867,0.1929,False
9025,57,31,3.1249,0.1008,False
9048,40,63,36.2018,0.5746,True
9040,36,7,0.7937,0.1134,False
9101,15,6,1.0182,0.1697,False
9002,9,41,13.6438,0.3328,True
9021,22,8,1.3587,0.1698,False
9074,34,54,14.822,0.2745,True
9093,47,5,0.1591,0.0318,False
9020,63,36,14.3803,0.3995,False
9078,4,7,1.2885,0.1841,False
9097,17,13,4.4449,0.3419,False
9003,10,11,11.406,1.0369,False
9063,24,50,3.017,0.0603,True
9150,29,64,33.2671,0.5198,True
9036,7,9,3.7018,0.4113,False
9142,25,66,28.6313,0.4338,True
9079,5,8,1.3868,0.1734,False
9120,6,22,16.7949,0.7634,True
9065,70,47,19.1525,0.4075,True
9025,34,32,7.4768,0.2337,False
9036,43,47,29.7912,0.6339,True
9142,61,5,0.417,0.0834,False
9048,17,23,8.7336,0.3797,False
9013,59,45,12.2926,0.2732,True
9120,42,5,0.7988,0.1598,False
9004,96,34,14.1336,0.4157,True
9101,28,7,0.3705,0.0529,False
9093,24,16,1.2913,0.0807,True
9020,40,23,0.8906,0.0387,False
9002,22,10,1.4689,0.1469,False
9063,1,20,0.9684,0.0484,True
9150,6,25,2.9209,0.1168,False
9126,57,43,12.5835,0.2926,False
9078,17,38,15.0928,0.3972,True
9064,82,136,44.6822,0.3285,True
9044,24,27,9.7603,0.3615,True
9036,20,36,19.9079,0.553,True
9142,38,7,1.5561,0.2223,False
9013,36,7,2.2201,0.3172,False
9005,32,215,110.6164,0.5145,True
9120,19,11,0.6211,0.0565,False
9065,83,49,27.3153,0.5575,True
9050,40,52,28.108,0.5405,True
9101,5,5,1.9075,0.3815,False
9093,1,79,15.1254,0.1915,True
9074,24,5,0.1074,0.0215,False
9118,30,160,49.9173,0.312,False
9097,7,45,30.5183,0.6782,False
9063,14,6,0.4446,0.0741,False
9150,19,33,2.3298,0.0706,True
9096,48,27,2.2379,0.0829,True
9118,66,65,16.1391,0.2483,True
9005,9,19,0.5074,0.0267,False
9065,60,5,0.4168,0.0834,False
9025,24,36,5.8493,0.1625,True
9011,89,60,29.4325,0.4905,True
9005,45,29,4.4679,0.1541,True
9124,2,11,1.7502,0.1591,False
9101,18,32,4.439,0.1387,True
9074,1,46,15.1419,0.3292,True
9093,14,5,0.5881,0.1176,False
9020,30,9,2.0297,0.2255,False
9126,47,11,4.6602,0.4237,True
9078,7,125,55.1343,0.4411,True
9018,105,10,0.1695,0.017,False
9064,72,26,12.6996,0.4884,True
9065,37,36,3.0543,0.0848,True
9142,28,29,13.8161,0.4764,True
9013,26,13,0.5561,0.0428,False
9065,73,15,6.9935,0.4662,True
9004,63,10,0.8437,0.0844,True
9050,30,94,36.512,0.3884,True
9074,14,8,1.6707,0.2088,False
9020,43,17,5.1777,0.3046,True
9126,24,5,2.2986,0.4597,False
9018,82,64,18.8921,0.2952,True
9064,49,38,14.918,0.3926,False
9063,4,5,2.3241,0.4648,False
9096,38,29,18.1613,0.6263,True
9064,85,5,0.2421,0.0484,False
9065,50,106,75.1326,0.7088,True
9003,75,17,0.8168,0.048,True
9004,40,8,1.794,0.2243,True
9050,7,54,17.6038,0.326,True
9079,70,10,2.5823,0.2582,False
9038,32,17,2.0896,0.1229,True
9004,76,17,3.1366,0.1845,True
9050,43,15,1.4781,0.0985,False
9020,20,6,0.6767,0.1128,False
9093,4,25,3.7035,0.1481,False
9126,1,67,12.0405,0.1797,True
9126,37,5,1.8398,0.368,False
9018,95,14,0.32,0.0229,False
9064,62,7,1.4255,0.2036,True
9065,27,47,13.8093,0.2938,False
9011,56,14,5.45,0.3893,False
9003,52,9,0.1962,0.0218,True
9005,12,24,2.7614,0.1151,False
9079,47,81,39.9958,0.4938,False
9004,53,17,2.9649,0.1744,False
9050,20,30,2.837,0.0946,True
9038,45,16,6.17,0.3856,False
9040,91,25,10.4402,0.4176,True
9018,72,11,0.8184,0.0744,False
9064,39,5,0.2834,0.0567,False
9065,4,36,10.2952,0.286,True
9065,40,26,4.3596,0.1677,True
9011,69,7,0.6527,0.0932,False
9003,65,114,42.7489,0.375,True
9063,79,85,30.8007,0.3624,True
9038,22,317,209.6129,0.6612,True
9079,60,75,35.4463,0.4726,True
9020,10,12,10.9925,0.916,False
9018,49,28,7.0345,0.2512,True
9064,16,15,3.6299,0.242,False
9021,54,24,5.6846,0.2369,False
9096,5,8,0.5971,0.0746,False
9118,23,133,60.7493,0.4568,True
9018,85,8,4.4451,0.5556,False
9064,52,15,3.191,0.2127,True
9065,17,16,2.2381,0.1399,False
9011,46,29,2.4881,0.0858,True
9002,77,6,0.6025,0.1004,False
9079,37,7,1.2096,0.1728,False
9025,66,65,12.5234,0.1927,True
9004,43,23,5.0195,0.2182,False
9050,10,12,6.9884,0.5824,True
9036,75,19,3.7136,0.1955,True
9040,81,16,2.9517,0.1845,True
9126,4,5,3.0131,0.6026,False
9018,62,22,1.4729,0.067,True
9064,29,17,10.9619,0.6448,True
9002,54,6,1.6312,0.2719,True
9003,19,67,29.3228,0.4377,True
9021,67,63,27.1193,0.4305,False
9078,49,46,22.7619,0.4948,True
9044,56,174,102.8507,0.5911,True
9004,20,13,1.1905,0.0916,False
9063,69,135,35.9322,0.2662,True
9036,52,123,100.3838,0.8161,True
9013,68,121,20.6516,0.1707,True
9079,50,18,5.0532,0.2807,False
9120,51,20,2.161,0.1081,True
9036,88,10,0.8932,0.0893,False
9018,39,38,6.06,0.1595,True
9064,6,14,2.9557,0.2111,False
9002,31,115,29.6363,0.2577,True
9074,56,7,0.689,0.0984,False
9020,85,5,0.9116,0.1823,False
9065,7,17,1.0123,0.0595,False
9011,36,21,5.9713,0.2843,True
9097,39,27,9.9323,0.3679,False
9003,32,104,33.4612,0.3217,True
9063,46,34,8.364,0.246,True
9078,62,76,41.0728,0.5404,True
9079,27,48,42.6614,0.8888,True
9025,56,72,16.4473,0.2284,False
