origin_station,origin_event_id,duration,severity,intensity,connected
9004,85,9,2.4477,0.272,True
9004,86,20,8.5725,0.4286,True
9004,87,6,0.9699,0.1616,False
9004,88,11,0.6931,0.063,False
9004,89,30,4.2979,0.1433,False
9004,90,14,1.5378,0.1098,False
9004,91,22,4.0854,0.1857,True
9004,92,10,1.6405,0.1641,False
9004,93,24,3.4997,0.1458,False
9004,94,25,9.1237,0.3649,False
9004,95,5,0.9676,0.1935,False
9004,96,34,14.1336,0.4157,False
9004,97,42,22.9873,0.5473,False
9004,98,53,7.4724,0.141,False
9004,99,42,25.8277,0.6149,True
9004,100,23,11.4663,0.4985,False
9004,101,37,8.467,0.2288,False
9004,102,23,4.7648,0.2072,True
9004,103,60,12.9705,0.2162,True
9004,104,13,4.1673,0.3206,True
9004,105,21,3.3671,0.1603,False
9004,106,13,9.7955,0.7535,False
9004,107,49,40.0606,0.8176,False
9004,108,21,0.5479,0.0261,False
9004,109,12,5.6944,0.4745,True
9005,1,18,0.9064,0.0504,True
9005,2,6,0.9552,0.1592,True
9005,3,24,5.2495,0.2187,True
9005,4,11,0.2036,0.0185,True
9005,5,51,12.8147,0.2513,False
9005,6,42,4.4395,0.1057,True
9005,7,17,0.8611,0.0507,True
9005,8,13,3.9806,0.3062,False
9005,9,19,0.5074,0.0267,True
9005,10,85,5.4992,0.0647,True
9005,11,25,3.6821,0.1473,True
9005,12,24,2.7614,0.1151,True
9005,13,13,1.3208,0.1016,True
9005,14,10,0.3451,0.0345,True
9005,15,12,0.5644,0.047,True
9005,16,11,0.1488,0.0135,True
9005,17,83,23.8247,0.287,True
9005,18,26,10.3251,0.3971,True
9005,19,5,0.2906,0.0581,True
9005,20,44,7.5397,0.1714,True
9005,21,32,2.4255,0.0758,True
9005,22,5,0.2749,0.055,True
9005,23,40,2.9007,0.0725,True
9005,24,17,16.5011,0.9707,False
9005,25,208,117.774,0.5662,False
9005,26,57,17.5624,0.3081,False
9005,27,27,11.3634,0.4209,False
9005,28,12,1.1226,0.0936,False
9005,29,5,0.1399,0.028,False
9005,30,10,1.5103,0.151,False
9005,31,16,14.7469,0.9217,False
9005,32,215,110.6164,0.5145,False
9005,33,158,38.1061,0.2412,True
9005,34,78,43.7408,0.5608,True
9005,35,30,19.1189,0.6373,False
9005,36,15,0.5664,0.0378,False
9005,37,6,0.5422,0.0904,True
9005,38,59,15.9841,0.2709,False
9005,39,99,56.5509,0.5712,True
9005,40,11,1.2516,0.1138,False
9005,41,93,18.945,0.2037,True
9005,42,12,3.6347,0.3029,False
9005,43,151,39.2512,0.2599,True
9005,44,12,1.3752,0.1146,False
9005,45,29,4.4679,0.1541,True
9005,46,24,5.0758,0.2115,True
9005,47,7,1.2049,0.1721,True
9005,48,6,0.4483,0.0747,False
9005,49,9,0.2281,0.0253,True
9005,50,39,15.2521,0.3911,True
9005,51,15,2.5476,0.1698,True
9005,52,56,5.8924,0.1052,True
9005,53,55,49.9813,0.9088,True
9005,54,23,29.9303,1.3013,True
9005,55,17,1.4509,0.0853,True
9005,56,8,1.4699,0.1837,True
9005,57,11,0.301,0.0274,True
9005,58,57,39.8931,0.6999,True
9005,59,12,2.9897,0.2491,True
9005,60,5,0.4184,0.0837,True
9005,61,64,33.6729,0.5261,True
9005,62,96,35.6167,0.371,True
9005,63,44,4.4688,0.1016,True
9005,64,12,1.9738,0.1645,True
9005,65,5,0.4249,0.085,False
9005,66,5,0.2488,0.0498,True
9005,67,15,4.0644,0.271,True
9005,68,5,0.6085,0.1217,True
9005,69,5,0.2013,0.0403,True
9005,70,45,10.1434,0.2254,False
9005,71,24,2.3916,0.0997,True
9005,72,37,4.7606,0.1287,True
9005,73,37,11.4899,0.3105,True
9005,74,7,4.2684,0.6098,True
9005,75,13,0.2989,0.023,True
9005,76,80,25.9568,0.3245,False
9005,77,47,8.612,0.1832,True
9005,78,9,0.5171,0.0575,True
9005,79,27,1.3561,0.0502,True
9011,1,6,2.9872,0.4979,True
9011,2,20,2.1603,0.108,True
9011,3,11,1.7157,0.156,True
9011,4,10,4.7035,0.4704,True
9011,5,24,3.575,0.149,True
9011,6,50,12.7382,0.2548,True
9011,7,7,0.6947,0.0992,True
9011,8,6,3.134,0.5223,True
9011,9,16,10.0464,0.6279,True
9011,10,8,5.2359,0.6545,True
9011,11,16,13.9263,0.8704,True
9011,12,88,69.3834,0.7884,True
9011,13,13,1.7436,0.1341,True
9011,14,7,1.2429,0.1776,True
9011,15,7,0.5138,0.0734,True
9011,16,7,1.4209,0.203,True
9011,17,6,0.8542,0.1424,True
9011,18,14,2.5004,0.1786,True
9011,19,47,20.9459,0.4457,True
9011,20,10,1.1856,0.1186,True
9011,21,10,0.2837,0.0284,True
9011,22,11,0.9951,0.0905,True
9011,23,19,4.7755,0.2513,True
9011,24,28,3.3564,0.1199,True
9011,25,39,19.6841,0.5047,True
9011,26,6,0.7223,0.1204,True
9011,27,45,7.9722,0.1772,True
9011,28,32,4.7328,0.1479,True
9011,29,7,0.2645,0.0378,True
9011,30,5,0.8163,0.1633,True
9011,31,14,0.6929,0.0495,True
9011,32,73,47.3671,0.6489,True
9011,33,25,8.1721,0.3269,True
9011,34,9,3.8864,0.4318,True
9011,35,24,7.448,0.3103,True
9011,36,21,5.9713,0.2843,True
9011,37,37,20.8231,0.5628,True
9011,38,140,66.7339,0.4767,True
9011,39,11,3.6298,0.33,True
9011,40,126,33.2809,0.2641,True
9011,41,5,1.1131,0.2226,True
9011,42,83,41.7348,0.5028,True
9011,43,26,5.7282,0.2203,True
9011,44,5,0.4436,0.0887,True
9011,45,5,1.3191,0.2638,True
9011,46,29,2.4881,0.0858,True
9011,47,15,7.8936,0.5262,True
9011,48,81,32.1379,0.3968,True
9011,49,14,2.3712,0.1694,True
9011,50,109,62.4697,0.5731,True
9011,51,22,4.5535,0.207,True
9011,52,7,0.4594,0.0656,True
9011,53,78,26.4052,0.3385,True
9011,54,28,6.8775,0.2456,True
9011,55,15,3.7494,0.25,True
9011,56,14,5.45,0.3893,True
9011,57,64,33.5828,0.5247,True
9011,58,13,6.5638,0.5049,True
9011,59,18,16.3689,0.9094,True
9011,60,14,6.6375,0.4741,True
9011,61,67,50.344,0.7514,True
9011,62,35,9.4904,0.2712,True
9011,63,29,3.0631,0.1056,True
9011,64,10,0.9073,0.0907,True
9011,65,6,1.2857,0.2143,True
9011,66,8,0.9748,0.1218,True
9011,67,17,7.2228,0.4249,True
9011,68,34,15.1554,0.4457,True
9011,69,7,0.6527,0.0932,True
9011,70,10,1.904,0.1904,True
9011,71,58,23.2117,0.4002,True
9011,72,27,2.3405,0.0867,True
9011,73,10,1.7542,0.1754,True
9011,74,14,5.5252,0.3947,True
9011,75,25,7.8822,0.3153,True
9011,76,31,2.6614,0.0859,True
9011,77,70,24.5213,0.3503,True
9011,78,50,13.4762,0.2695,True
9011,79,9,1.6564,0.184,True
9011,80,5,0.7542,0.1508,True
9011,81,23,3.5867,0.1559,True
9011,82,9,1.8652,0.2072,True
9011,83,14,2.404,0.1717,True
9011,84,20,9.2641,0.4632,True
9011,85,32,16.5462,0.5171,True
9011,86,52,40.8065,0.7847,True
9011,87,12,8.9179,0.7432,True
9011,88,52,7.9022,0.152,True
9011,89,60,29.4325,0.4905,True
9011,90,11,6.3221,0.5747,True
9011,91,21,12.7515,0.6072,True
9011,92,42,2.4362,0.058,True
9011,93,9,1.5848,0.1761,True
9011,94,10,2.2583,0.2258,True
9025,1,15,4.1448,0.2763,False
9025,2,8,0.2053,0.0257,False
9025,3,24,4.0049,0.1669,False
9025,4,7,2.317,0.331,False
9025,5,13,12.526,0.9635,False
9025,6,15,2.8112,0.1874,True
9025,7,38,12.2436,0.3222,True
9025,8,65,19.0602,0.2932,True
9025,9,79,18.9569,0.24,False
9025,10,20,2.124,0.1062,False
9025,11,15,0.6588,0.0439,True
9025,12,5,0.9406,0.1881,False
9025,13,13,2.4674,0.1898,False
9025,14,69,14.0056,0.203,False
9025,15,13,3.664,0.2818,False
9025,16,5,9.2674,1.8535,False
9025,17,29,4.4905,0.1548,True
9025,18,8,0.0777,0.0097,False
9025,19,5,1.7466,0.3493,False
9025,20,42,8.5083,0.2026,False
9025,21,28,7.4838,0.2673,True
9025,22,8,4.6203,0.5775,False
9025,23,23,1.7068,0.0742,False
9025,24,36,5.8493,0.1625,True
9025,25,36,5.6341,0.1565,False
9025,26,11,3.664,0.3331,False
9025,27,15,2.7229,0.1815,False
9025,28,7,0.2676,0.0382,False
9025,29,13,1.0992,0.0846,False
9025,30,7,3.1405,0.4486,False
9025,31,17,2.0519,0.1207,False
9025,32,88,5.8851,0.0669,True
9025,33,37,6.8142,0.1842,False
9025,34,32,7.4768,0.2337,True
9025,35,15,3.9407,0.2627,True
9025,36,18,14.0381,0.7799,True
9025,37,49,5.4726,0.1117,True
9025,38,5,0.2251,0.045,True
9025,39,32,21.5533,0.6735,True
9025,40,37,12.5758,0.3399,True
9025,41,31,4.1464,0.1338,True
9025,42,24,0.7251,0.0302,True
9025,43,101,59.5549,0.5897,True
9025,44,22,6.5193,0.2963,True
9025,45,50,20.6968,0.4139,True
9025,46,18,0.8848,0.0492,True
9025,47,47,3.4329,0.073,False
9025,48,43,2.8692,0.0667,False
9025,49,21,3.0904,0.1472,True
9025,50,63,19.0677,0.3027,True
9025,51,76,10.3734,0.1365,False
9025,52,10,0.8231,0.0823,True
9025,53,15,1.1825,0.0788,True
9025,54,76,7.721,0.1016,True
9025,55,403,324.4918,0.8052,True
9025,56,72,16.4473,0.2284,False
9025,57,31,3.1249,0.1008,False
9025,58,8,0.816,0.102,True
9025,59,183,74.3039,0.406,True
9025,60,6,0.6759,0.1127,True
9025,61,82,27.4108,0.3343,True
9025,62,14,0.4456,0.0318,True
9025,63,101,18.3479,0.1817,True
9025,64,23,0.8206,0.0357,False
9025,65,25,2.92,0.1168,False
9025,66,65,12.5234,0.1927,False
9025,67,18,1.4706,0.0817,False
9025,68,129,25.6302,0.1987,False
9025,69,21,2.8806,0.1372,True
9025,70,16,3.1773,0.1986,False
9025,71,26,7.2253,0.2779,True
9025,72,17,0.8775,0.0516,False
9025,73,204,42.144,0.2066,True
9025,74,26,3.1516,0.1212,True
9025,75,16,3.2371,0.2023,True
9025,76,121,14.7454,0.1219,False
9025,77,11,1.6909,0.1537,True
9025,78,5,0.0094,0.0019,False
9025,79,25,1.1356,0.0454,True
9025,80,15,2.04,0.136,False
9025,81,117,5.4793,0.0468,False
9025,82,10,1.4904,0.149,False
9027,1,6,1.7608,0.2935,True
9027,2,45,20.6774,0.4595,True
9027,3,57,75.9203,1.3319,True
9027,4,78,64.1708,0.8227,True
9027,5,58,5.3197,0.0917,True
9027,6,56,22.4325,0.4006,True
9027,7,14,1.05,0.075,False
9027,8,15,0.3358,0.0224,True
9027,9,8,0.5863,0.0733,True
9027,10,29,1.7512,0.0604,True
9027,11,14,1.4175,0.1012,False
9027,12,15,0.4727,0.0315,False
9027,13,14,2.3293,0.1664,False
9027,14,15,0.9494,0.0633,True
9027,15,28,0.695,0.0248,True
9027,16,9,0.5447,0.0605,True
9027,17,9,4.8686,0.541,True
9027,18,8,0.2263,0.0283,True
9027,19,39,2.1288,0.0546,True
9027,20,37,3.8159,0.1031,True
9027,21,7,0.4984,0.0712,True
9027,22,8,0.312,0.039,True
9027,23,8,0.8379,0.1047,True
9027,24,9,0.2378,0.0264,False
9027,25,9,4.117,0.4574,True
9027,26,31,0.9168,0.0296,True
9027,27,28,10.2383,0.3657,True
9027,28,32,7.273,0.2273,True
9027,29,19,1.053,0.0554,True
9027,30,10,0.3288,0.0329,True
9027,31,9,0.7981,0.0887,True
9027,32,16,1.3833,0.0865,True
9027,33,35,7.9725,0.2278,True
9027,34,62,28.7839,0.4643,True
9027,35,83,18.9007,0.2277,True
9027,36,30,1.5351,0.0512,True
9027,37,58,19.3469,0.3336,True
9027,38,92,68.1161,0.7404,True
9027,39,38,16.1565,0.4252,True
9027,40,78,26.5245,0.3401,True
9027,41,51,36.9402,0.7243,True
9027,42,5,0.729,0.1458,True
9027,43,22,1.7046,0.0775,True
9027,44,8,0.5272,0.0659,True
9027,45,11,0.4136,0.0376,True
9027,46,34,6.0648,0.1784,True
9027,47,80,34.1042,0.4263,True
9027,48,23,4.9864,0.2168,True
9027,49,13,2.67,0.2054,True
9027,50,36,5.1738,0.1437,True
9027,51,25,2.9739,0.119,True
9027,52,138,60.8781,0.4411,True
9027,53,118,66.9039,0.567,True
9027,54,9,0.8232,0.0915,True
9027,55,6,1.1411,0.1902,True
9027,56,16,1.1652,0.0728,True
9027,57,81,15.7216,0.1941,True
9027,58,16,1.2544,0.0784,True
9027,59,132,51.8113,0.3925,True
9027,60,10,0.892,0.0892,True
9027,61,23,1.7423,0.0758,True
9027,62,8,1.0239,0.128,True
9027,63,5,1.6633,0.3327,True
9027,64,16,3.3534,0.2096,True
9027,65,29,0.9156,0.0316,True
9027,66,23,1.963,0.0853,True
9027,67,62,15.2757,0.2464,True
9027,68,106,35.1231,0.3314,True
9027,69,128,29.3306,0.2291,True
9027,70,13,1.1481,0.0883,True
9027,71,20,1.3152,0.0658,True
9027,72,22,1.5691,0.0713,True
9027,73,11,0.1752,0.0159,True
9027,74,153,46.1886,0.3019,True
9027,75,17,2.877,0.1692,True
9027,76,9,2.938,0.3264,True
9027,77,15,0.7001,0.0467,True
9027,78,16,1.2585,0.0787,True
9027,79,25,2.8247,0.113,True
9027,80,8,0.2724,0.0341,False
9027,81,13,3.039,0.2338,True
9027,82,38,5.7138,0.1504,True
9027,83,60,10.9211,0.182,True
9027,84,84,29.5903,0.3523,True
9027,85,17,2.207,0.1298,True
9027,86,76,11.4795,0.151,True
9027,87,9,0.5719,0.0635,True
9036,1,7,0.7959,0.1137,False
9036,2,17,3.0712,0.1807,False
9036,3,5,1.8227,0.3645,False
9036,4,7,0.6014,0.0859,False
9036,5,5,2.0935,0.4187,False
9036,6,25,9.9633,0.3985,False
9036,7,9,3.7018,0.4113,False
9036,8,5,1.1806,0.2361,False
9036,9,15,10.2624,0.6842,False
9036,10,57,43.1431,0.7569,False
9036,11,19,4.472,0.2354,False
9036,12,5,1.5268,0.3054,False
9036,13,8,0.3983,0.0498,False
9036,14,33,16.5502,0.5015,True
9036,15,7,0.2828,0.0404,False
9036,16,5,0.5639,0.1128,False
9036,17,16,5.2915,0.3307,True
9036,18,14,1.8079,0.1291,False
9036,19,40,19.3299,0.4832,False
9036,20,36,19.9079,0.553,False
9036,21,82,56.0795,0.6839,True
9036,22,26,6.311,0.2427,False
9036,23,9,0.5967,0.0663,False
9036,24,19,16.2244,0.8539,True
9036,25,8,7.8985,0.9873,False
9036,26,10,0.3223,0.0322,False
9036,27,39,12.6488,0.3243,False
9036,28,6,0.841,0.1402,False
9036,29,5,0.5642,0.1128,False
9036,30,14,1.5841,0.1132,False
9036,31,10,2.8968,0.2897,False
9036,32,10,6.9419,0.6942,False
9036,33,204,89.6659,0.4395,False
9036,34,6,0.1845,0.0307,False
9036,35,10,1.5666,0.1567,False
9036,36,6,3.6229,0.6038,True
9036,37,7,5.224,0.7463,True
9036,38,7,6.0654,0.8665,True
9036,39,11,6.1227,0.5566,True
9036,40,9,1.5528,0.1725,False
9036,41,21,10.6124,0.5054,False
9036,42,7,2.7338,0.3905,False
9036,43,47,29.7912,0.6339,False
9036,44,22,1.4312,0.0651,False
9036,45,16,1.2704,0.0794,False
9036,46,9,3.7061,0.4118,False
9036,47,13,4.7591,0.3661,False
9036,48,99,79.3152,0.8012,False
9036,49,35,21.2261,0.6065,False
9036,50,12,11.3999,0.95,False
9036,51,20,11.6793,0.584,True
9036,52,123,100.3838,0.8161,True
9036,53,151,97.1223,0.6432,False
9036,54,7,2.4878,0.3554,False
9036,55,6,3.0829,0.5138,False
9036,56,104,63.4111,0.6097,True
9036,57,24,8.2163,0.3423,False
9036,58,6,1.0145,0.1691,False
9036,59,6,0.6882,0.1147,False
9036,60,91,37.2362,0.4092,False
9036,61,8,2.3989,0.2999,False
9036,62,38,7.9486,0.2092,True
9036,63,45,6.8377,0.1519,False
9036,64,35,1.9289,0.0551,False
9036,65,15,1.5694,0.1046,False
9036,66,5,0.4382,0.0876,True
9036,67,7,0.1328,0.019,False
9036,68,38,7.7282,0.2034,True
9036,69,22,5.0548,0.2298,False
9036,70,10,1.6405,0.1641,False
9036,71,14,3.1446,0.2246,True
9036,72,86,12.4118,0.1443,False
9036,73,41,25.3416,0.6181,True
9036,74,29,12.9375,0.4461,True
9036,75,19,3.7136,0.1955,False
9036,76,6,0.029,0.0048,True
9036,77,37,5.2117,0.1409,False
9036,78,14,1.5608,0.1115,True
9036,79,19,2.6645,0.1402,True
9036,80,5,0.4688,0.0938,False
9036,81,13,1.6292,0.1253,False
9036,82,72,31.9087,0.4432,False
9036,83,135,23.2727,0.1724,False
9036,84,20,1.1495,0.0575,False
9036,85,22,0.5762,0.0262,False
9036,86,35,12.4658,0.3562,False
9036,87,11,0.1697,0.0154,False
9036,88,10,0.8932,0.0893,False
9036,89,7,0.5997,0.0857,False
9038,1,20,1.3731,0.0687,False
9038,2,6,0.494,0.0823,False
9038,3,8,0.6813,0.0852,True
9038,4,13,1.6452,0.1266,False
9038,5,67,32.0076,0.4777,False
9038,6,34,6.0621,0.1783,False
9038,7,97,44.6529,0.4603,False
9038,8,9,0.7236,0.0804,False
9038,9,32,5.8207,0.1819,True
9038,10,6,1.0529,0.1755,False
9038,11,21,1.1188,0.0533,False
9038,12,54,6.2293,0.1154,False
9038,13,15,1.2324,0.0822,False
9038,14,51,28.0411,0.5498,False
9038,15,37,10.372,0.2803,False
9038,16,23,0.4001,0.0174,False
9038,17,104,47.696,0.4586,False
9038,18,17,12.1933,0.7173,False
9038,19,99,100.4854,1.015,False
9038,20,73,17.75,0.2432,False
9038,21,20,4.8296,0.2415,False
9038,22,317,209.6129,0.6612,True
9038,23,32,23.5406,0.7356,False
9038,24,84,62.7015,0.7464,True
9038,25,18,1.6312,0.0906,False
9038,26,12,0.6526,0.0544,True
9038,27,42,3.9738,0.0946,False
9038,28,7,1.4111,0.2016,False
9038,29,25,8.2297,0.3292,True
9038,30,20,2.3512,0.1176,True
9038,31,80,32.1434,0.4018,True
9038,32,17,2.0896,0.1229,False
9038,33,8,0.6511,0.0814,False
9038,34,5,0.5511,0.1102,False
9038,35,23,2.8361,0.1233,False
9038,36,34,1.8971,0.0558,False
9038,37,9,1.1227,0.1247,False
9038,38,6,0.3243,0.054,False
9038,39,143,64.9967,0.4545,False
9038,40,45,17.8682,0.3971,True
9038,41,186,47.3737,0.2547,False
9038,42,10,0.7367,0.0737,True
9038,43,45,13.7649,0.3059,True
9038,44,16,2.5319,0.1582,False
9038,45,16,6.17,0.3856,True
9038,46,13,0.1391,0.0107,True
9038,47,32,1.3563,0.0424,False
9038,48,19,10.5354,0.5545,True
9038,49,134,63.1924,0.4716,False
9038,50,293,136.9839,0.4675,False
9038,51,18,0.3883,0.0216,False
9038,52,5,0.1523,0.0305,False
9065,1,40,17.5152,0.4379,True
9065,2,152,127.579,0.8393,False
9065,3,8,0.8224,0.1028,False
9065,4,36,10.2952,0.286,True
