origin_station,n_total,n_unconnected,pct_unconnected
9004,109,85,77.98165137614679
9036,89,69,77.52808988764045
9101,35,26,74.28571428571429
9038,52,38,73.07692307692308
9096,59,43,72.88135593220339
9065,86,45,52.325581395348834
9025,82,42,51.21951219512195
9120,71,27,38.028169014084504
9005,79,21,26.582278481012658
9027,87,6,6.896551724137931
9002,85,1,1.1764705882352942
9011,94,0,0.0
