station_id,n_events,mean_severity,pool_gap,min_duration
9002,173,6.000498843930635,0,3
9003,152,6.149029605263158,0,3
9004,186,5.164493548387097,0,3
9005,182,5.0369763736263735,0,3
9011,191,5.217373298429319,0,3
9013,245,3.0379893877551023,0,3
9018,222,4.036386036036036,0,3
9020,186,4.491356989247311,0,3
9021,201,4.64655223880597,0,3
9025,162,5.301437037037037,0,3
9027,155,5.687855483870968,0,3
9036,168,6.233581547619048,0,3
9038,112,9.347918750000002,0,3
9040,164,5.577887804878049,0,3
9044,105,9.20134,0,3
9048,126,8.121148412698412,0,3
9050,101,10.461559405940594,0,3
9063,181,5.284901104972375,0,3
9064,201,4.683466169154229,0,3
9065,167,6.148578443113772,0,3
9074,137,5.6921379562043795,0,3
9078,137,7.2721145985401465,0,3
9079,152,6.759961842105263,0,3
9093,88,11.4463625,0,3
9096,119,5.901196638655462,0,3
9097,83,11.166613253012049,0,3
9101,78,12.96155,0,3
9118,127,8.409029921259842,0,3
9120,146,7.324073972602739,0,3
9124,190,13.311491578947368,0,3
9126,180,5.369255555555555,0,3
9142,176,5.078930681818182,0,3
9150,162,6.3076993827160495,0,3
9002,133,7.558794736842105,0,5
9003,106,8.525267924528302,0,5
9004,145,6.370555862068965,0,5
9005,124,6.951058064516129,0,5
9011,132,7.247656818181818,0,5
9013,115,4.696933913043478,0,5
9018,130,6.150323846153846,0,5
9020,130,6.1411215384615385,0,5
9021,142,6.1565612676056345,0,5
9025,85,9.211063529411765,0,5
9027,85,9.499805882352941,0,5
9036,128,7.838709375,0,5
9038,86,11.995803488372093,0,5
9040,122,7.17463524590164,0,5
9044,89,10.797232584269663,0,5
9048,104,9.718685576923077,0,5
9050,73,14.254019178082192,0,5
9063,144,6.514406944444445,0,5
9064,144,6.31791736111111,0,5
9065,119,8.322299159663865,0,5
9074,94,7.9763,0,5
9078,100,9.748514,0,5
9079,116,8.648693965517241,0,5
9093,71,14.142352112676056,0,5
9096,80,8.35322,0,5
9097,57,15.912115789473683,0,5
